seed,scheduling method,Max Queue Length,Avg. Time In System
0,RandMin,7.0,6.666666666666667,15.81669275941752
0,PureRand,43.0,21.0,59.497483849548026
0,RR,25.0,19.0,55.13884972079674
1,RandMin,15.0,14.833333333333334,47.135866351795464
1,PureRand,38.0,23.166666666666668,71.37848627493916
1,RR,27.0,19.833333333333332,54.624031519947096
2,RandMin,11.0,10.166666666666666,24.406647950930072
2,PureRand,49.0,21.333333333333332,63.66148798769357
2,RR,29.0,18.0,50.58206908762198
3,RandMin,11.0,11.0,33.58364900934231
3,PureRand,44.0,20.166666666666668,54.475570900766236
3,RR,25.0,14.666666666666666,44.50010004921134
4,RandMin,7.0,6.333333333333333,12.931881841463595
4,PureRand,39.0,20.166666666666668,55.595227701951096
4,RR,18.0,13.5,31.145120192294726
