seed,scheduling method,Max Queue Length,Avg. Time In System
0,RandMin,17.0,16.833333333333332,34.21294107212097
0,PureRand,39.0,24.5,85.01550430571339
0,RR,26.0,14.666666666666666,40.89848649556057
1,RandMin,11.0,10.666666666666666,34.01445069195224
1,PureRand,33.0,18.0,43.44684263868694
1,RR,34.0,22.5,73.90630713177335
2,RandMin,9.0,8.166666666666666,18.725088554717725
2,PureRand,44.0,29.666666666666668,82.34486440050169
2,RR,21.0,17.166666666666668,47.81644727674452
3,RandMin,13.0,13.0,42.58296967413861
3,PureRand,37.0,24.5,74.3945917204201
3,RR,28.0,16.0,47.22062702190997
4,RandMin,10.0,10.0,22.405461380601448
4,PureRand,34.0,19.333333333333332,53.976587486614044
4,RR,24.0,18.333333333333332,54.063060752499354
